smart	intelligent
hard	difficult
happy	cheerful
fast	rapid
happy	glad
stupid	dumb
weird	strange
bad	awful
insane	crazy
large	huge
hard	tough
quick	rapid
wonderful	terrific
strange	odd
simple	easy
apparent	obvious
inexpensive	cheap
weird	odd
wonderful	great
confident	sure
large	big
certain	sure
essential	necessary
crucial	important
harsh	cruel
scarce	rare
bizarre	strange
exotic	rare
delightful	wonderful
noticeable	obvious
formal	proper
dreary	dull
horse	mare
friend	buddy
student	pupil
plane	jet
teacher	instructor
movie	film
area	region
cow	cattle
taxi	cab
sheep	lamb
anger	fury
sea	ocean
hallway	corridor
cop	sheriff
beach	seashore
victory	triumph
motel	inn
alcohol	gin
creator	maker
bubble	suds
attorney	lawyer
area	zone
business	company
motor	engine
abundance	plenty
shore	coast
style	fashion
boundary	border
heroine	hero
crib	cradle
orthodontist	dentist
couple	pair
purse	bag
pact	agreement
physician	doctor
corporation	business
champion	winner
danger	threat
buddy	companion
adversary	opponent
communication	conversation
racket	noise
drizzle	rain
log	timber
task	job
mood	emotion
aggression	hostility
journey	trip
aviation	flight
author	creator
belly	abdomen
assignment	task
attention	awareness
listen	hear
think	rationalize
occur	happen
vanish	disappear
plead	beg
begin	originate
protect	defend
create	make
achieve	accomplish
make	construct
inform	notify
advise	recommend
decide	choose
keep	possess
roam	wander
come	attend
acquire	get
appoint	elect
analyze	evaluate
compare	analyze
create	build
locate	find
pretend	imagine
declare	announce
proclaim	announce
acquire	obtain
inspect	examine
expand	grow
clarify	explain
investigate	examine
explore	discover
arrange	organize
reduce	shrink
contemplate	think
join	add
